,precision,recall,f1-score,support
8,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,1.0
26,0.0,0.0,0.0,1.0
37,0.0,0.0,0.0,1.0
39,0.0,0.0,0.0,1.0
42,0.0,0.0,0.0,1.0
46,0.0,0.0,0.0,1.0
48,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,2.0
74,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,4.0
86,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,1.0
99,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,1.0
101,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,1.0
120,0.0,0.0,0.0,3.0
124,0.0,0.0,0.0,1.0
125,0.0,0.0,0.0,1.0
132,0.0,0.0,0.0,1.0
138,0.0,0.0,0.0,1.0
144,0.0,0.0,0.0,1.0
150,0.0,0.0,0.0,1.0
160,0.0,0.0,0.0,1.0
162,0.0,0.0,0.0,1.0
164,0.0,0.0,0.0,1.0
170,0.0,0.0,0.0,1.0
172,0.0,0.0,0.0,1.0
173,0.0,0.0,0.0,1.0
178,0.0,0.0,0.0,1.0
179,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,4.0
188,0.0,0.0,0.0,1.0
190,0.0,0.0,0.0,1.0
193,0.0,0.0,0.0,2.0
194,0.0,0.0,0.0,1.0
198,0.0,0.0,0.0,3.0
208,0.0,0.0,0.0,2.0
209,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,1.0
240,0.0,0.0,0.0,1.0
242,0.0,0.0,0.0,3.0
249,0.0,0.0,0.0,3.0
257,0.0,0.0,0.0,1.0
261,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,1.0
279,0.0,0.0,0.0,1.0
282,0.0,0.0,0.0,1.0
289,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,2.0
302,0.0,0.0,0.0,1.0
315,0.0,0.0,0.0,2.0
319,0.0,0.0,0.0,1.0
335,0.0,0.0,0.0,1.0
342,0.0,0.0,0.0,1.0
349,0.0,0.0,0.0,1.0
352,0.0,0.0,0.0,1.0
357,0.0,0.0,0.0,1.0
362,0.0,0.0,0.0,1.0
364,0.0,0.0,0.0,1.0
368,0.0,0.0,0.0,1.0
369,0.0,0.0,0.0,1.0
372,0.0,0.0,0.0,1.0
391,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,1.0
401,0.0,0.0,0.0,3.0
406,0.0,0.0,0.0,1.0
415,0.0,0.0,0.0,1.0
419,0.0,0.0,0.0,1.0
421,0.0,0.0,0.0,1.0
428,0.0,0.0,0.0,2.0
432,0.125,0.5,0.2,2.0
433,0.0,0.0,0.0,1.0
434,0.0,0.0,0.0,1.0
440,0.0,0.0,0.0,1.0
460,0.0,0.0,0.0,1.0
461,0.0,0.0,0.0,2.0
465,0.0,0.0,0.0,1.0
468,0.0,0.0,0.0,1.0
492,0.0,0.0,0.0,1.0
497,0.0,0.0,0.0,2.0
498,0.0,0.0,0.0,1.0
501,0.0,0.0,0.0,1.0
502,0.0,0.0,0.0,1.0
504,0.13245033112582782,0.40816326530612246,0.2,49.0
517,0.0,0.0,0.0,1.0
520,0.0,0.0,0.0,1.0
523,0.0,0.0,0.0,1.0
525,0.0,0.0,0.0,1.0
526,0.0,0.0,0.0,1.0
529,0.0,0.0,0.0,1.0
534,0.0,0.0,0.0,1.0
536,0.0,0.0,0.0,6.0
541,0.0,0.0,0.0,1.0
543,0.0,0.0,0.0,1.0
553,0.0,0.0,0.0,1.0
588,0.0,0.0,0.0,1.0
603,0.0,0.0,0.0,1.0
607,0.0,0.0,0.0,6.0
622,0.0,0.0,0.0,2.0
625,0.0,0.0,0.0,2.0
627,0.0,0.0,0.0,1.0
630,0.0,0.0,0.0,1.0
632,0.0,0.0,0.0,1.0
635,0.0,0.0,0.0,1.0
640,0.0,0.0,0.0,2.0
642,0.0,0.0,0.0,1.0
648,0.0,0.0,0.0,1.0
659,0.0,0.0,0.0,0.0
663,0.0,0.0,0.0,1.0
671,0.0,0.0,0.0,1.0
675,0.0,0.0,0.0,2.0
679,0.0,0.0,0.0,3.0
683,0.0,0.0,0.0,1.0
685,0.0,0.0,0.0,1.0
689,0.14285714285714285,0.2857142857142857,0.19047619047619047,7.0
694,0.0,0.0,0.0,1.0
697,0.0,0.0,0.0,1.0
708,0.0,0.0,0.0,1.0
715,0.0,0.0,0.0,1.0
724,0.0,0.0,0.0,1.0
729,0.0,0.0,0.0,1.0
733,0.0,0.0,0.0,0.0
747,0.0,0.0,0.0,1.0
760,0.0,0.0,0.0,1.0
772,0.0,0.0,0.0,1.0
773,0.0,0.0,0.0,1.0
785,0.0,0.0,0.0,1.0
793,0.0,0.0,0.0,1.0
801,0.0,0.0,0.0,1.0
813,0.0,0.0,0.0,1.0
816,0.0,0.0,0.0,1.0
828,0.0,0.0,0.0,1.0
829,0.0,0.0,0.0,1.0
832,0.0,0.0,0.0,1.0
836,0.0,0.0,0.0,1.0
839,0.0,0.0,0.0,1.0
850,0.0,0.0,0.0,1.0
857,0.0,0.0,0.0,1.0
860,0.0,0.0,0.0,1.0
862,0.0,0.0,0.0,1.0
870,0.0,0.0,0.0,0.0
872,0.0,0.0,0.0,1.0
883,0.0,0.0,0.0,1.0
892,0.0,0.0,0.0,1.0
898,0.0,0.0,0.0,1.0
905,0.0,0.0,0.0,1.0
910,0.0,0.0,0.0,1.0
911,0.0,0.0,0.0,1.0
913,0.0,0.0,0.0,1.0
921,0.0,0.0,0.0,0.0
929,0.0,0.0,0.0,3.0
931,0.0,0.0,0.0,1.0
935,0.0,0.0,0.0,1.0
936,0.0,0.0,0.0,1.0
941,0.0,0.0,0.0,1.0
942,0.0,0.0,0.0,1.0
950,0.0,0.0,0.0,1.0
951,0.0,0.0,0.0,0.0
968,0.0,0.0,0.0,1.0
972,0.0,0.0,0.0,0.0
976,0.0,0.0,0.0,1.0
982,0.0,0.0,0.0,1.0
983,0.0,0.0,0.0,1.0
991,0.0,0.0,0.0,1.0
993,0.0,0.0,0.0,0.0
1003,0.0,0.0,0.0,1.0
1007,0.0,0.0,0.0,1.0
1010,0.0,0.0,0.0,1.0
1018,0.0,0.0,0.0,0.0
1020,0.0,0.0,0.0,1.0
1027,0.0,0.0,0.0,1.0
1032,0.0,0.0,0.0,1.0
1034,0.0,0.0,0.0,0.0
1035,0.0,0.0,0.0,1.0
1036,0.0,0.0,0.0,1.0
1051,0.0,0.0,0.0,0.0
1067,0.0,0.0,0.0,2.0
1072,0.0,0.0,0.0,1.0
1082,0.0,0.0,0.0,1.0
1086,0.0,0.0,0.0,1.0
1090,0.05263157894736842,0.5,0.09523809523809523,2.0
1092,0.0,0.0,0.0,1.0
1099,0.0,0.0,0.0,1.0
1103,0.0,0.0,0.0,1.0
1104,0.0,0.0,0.0,1.0
1106,0.0,0.0,0.0,1.0
1110,0.0,0.0,0.0,1.0
1111,0.0,0.0,0.0,1.0
1126,0.0,0.0,0.0,1.0
1127,0.0,0.0,0.0,1.0
1133,0.0,0.0,0.0,1.0
1154,0.0,0.0,0.0,1.0
1158,0.0,0.0,0.0,1.0
1169,0.0,0.0,0.0,1.0
1170,0.0,0.0,0.0,1.0
1171,0.0,0.0,0.0,2.0
1172,0.0,0.0,0.0,1.0
1183,0.0,0.0,0.0,1.0
1191,0.0,0.0,0.0,0.0
1193,0.0,0.0,0.0,1.0
1197,0.0,0.0,0.0,1.0
1202,0.0,0.0,0.0,1.0
1203,0.0,0.0,0.0,1.0
1208,0.0,0.0,0.0,1.0
1212,0.0,0.0,0.0,1.0
1216,0.0,0.0,0.0,1.0
1218,0.0,0.0,0.0,1.0
1225,0.0,0.0,0.0,1.0
1229,0.0,0.0,0.0,1.0
1238,0.0,0.0,0.0,1.0
1241,0.0,0.0,0.0,0.0
1242,0.0,0.0,0.0,1.0
1245,0.0,0.0,0.0,0.0
1246,0.0,0.0,0.0,1.0
1250,0.0,0.0,0.0,1.0
1251,0.0,0.0,0.0,0.0
1253,0.0,0.0,0.0,2.0
1254,0.0,0.0,0.0,1.0
1262,0.0,0.0,0.0,1.0
1276,0.0,0.0,0.0,1.0
1278,0.0,0.0,0.0,1.0
1282,0.0,0.0,0.0,1.0
1287,0.0,0.0,0.0,1.0
1290,0.0,0.0,0.0,1.0
1292,0.0,0.0,0.0,1.0
1296,0.0,0.0,0.0,1.0
1298,0.0,0.0,0.0,0.0
1303,0.0,0.0,0.0,1.0
1312,0.0,0.0,0.0,0.0
1317,0.0,0.0,0.0,2.0
1320,0.0,0.0,0.0,1.0
1336,0.0,0.0,0.0,1.0
1338,0.0,0.0,0.0,1.0
1340,0.0,0.0,0.0,1.0
1351,0.0,0.0,0.0,0.0
1360,0.0,0.0,0.0,1.0
1361,0.0,0.0,0.0,1.0
1372,0.0,0.0,0.0,2.0
1379,0.0,0.0,0.0,1.0
1381,0.0,0.0,0.0,1.0
1382,0.0,0.0,0.0,1.0
1385,0.0,0.0,0.0,2.0
1388,0.0,0.0,0.0,1.0
1390,0.0,0.0,0.0,1.0
