,precision,recall,f1-score,support
19,0.0,0.0,0.0,1.0
28,0.0,0.0,0.0,1.0
41,0.0,0.0,0.0,1.0
42,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,1.0
57,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,4.0
72,0.0,0.0,0.0,2.0
74,0.0,0.0,0.0,1.0
76,0.0,0.0,0.0,6.0
77,0.0,0.0,0.0,2.0
89,0.0,0.0,0.0,1.0
91,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,2.0
101,0.0,0.0,0.0,1.0
105,0.0,0.0,0.0,1.0
107,0.0,0.0,0.0,1.0
108,0.0,0.0,0.0,1.0
111,0.0,0.0,0.0,1.0
119,0.0,0.0,0.0,1.0
120,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,1.0
130,0.0,0.0,0.0,1.0
137,0.0,0.0,0.0,1.0
143,0.0,0.0,0.0,1.0
148,0.0,0.0,0.0,1.0
174,0.0,0.0,0.0,1.0
176,0.0,0.0,0.0,1.0
184,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,2.0
200,0.0,0.0,0.0,2.0
207,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,1.0
231,0.0,0.0,0.0,1.0
233,0.0,0.0,0.0,1.0
235,0.0,0.0,0.0,1.0
236,0.0,0.0,0.0,1.0
238,0.0,0.0,0.0,1.0
242,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,1.0
247,0.0,0.0,0.0,1.0
249,0.0,0.0,0.0,1.0
263,0.0,0.0,0.0,1.0
274,0.0,0.0,0.0,1.0
278,0.0,0.0,0.0,1.0
282,0.0,0.0,0.0,1.0
284,0.0,0.0,0.0,1.0
289,0.0,0.0,0.0,2.0
304,0.0,0.0,0.0,1.0
315,0.0,0.0,0.0,3.0
316,0.0,0.0,0.0,1.0
318,0.0,0.0,0.0,1.0
321,0.0,0.0,0.0,1.0
334,0.0,0.0,0.0,1.0
339,0.0,0.0,0.0,1.0
340,0.0,0.0,0.0,1.0
344,0.0,0.0,0.0,1.0
346,0.0,0.0,0.0,1.0
350,0.0,0.0,0.0,1.0
352,0.0,0.0,0.0,1.0
355,0.0,0.0,0.0,1.0
375,0.0,0.0,0.0,1.0
376,0.0,0.0,0.0,1.0
379,0.0,0.0,0.0,1.0
382,0.0,0.0,0.0,1.0
386,0.0,0.0,0.0,1.0
391,0.0,0.0,0.0,0.0
397,0.0,0.0,0.0,1.0
401,0.0,0.0,0.0,2.0
402,0.0,0.0,0.0,1.0
407,0.0,0.0,0.0,1.0
409,0.0,0.0,0.0,1.0
415,0.0,0.0,0.0,0.0
420,0.0,0.0,0.0,1.0
426,0.0,0.0,0.0,1.0
432,0.0,0.0,0.0,1.0
436,0.0,0.0,0.0,1.0
438,0.0,0.0,0.0,1.0
446,0.0,0.0,0.0,1.0
449,0.0,0.0,0.0,1.0
452,0.0,0.0,0.0,1.0
457,0.0,0.0,0.0,1.0
461,0.0,0.0,0.0,3.0
462,0.0,0.0,0.0,1.0
466,0.0,0.0,0.0,1.0
467,0.0,0.0,0.0,1.0
473,0.0,0.0,0.0,1.0
477,0.0,0.0,0.0,1.0
481,0.0,0.0,0.0,1.0
483,0.0,0.0,0.0,1.0
484,0.0,0.0,0.0,1.0
489,0.0,0.0,0.0,1.0
494,0.0,0.0,0.0,1.0
497,0.0,0.0,0.0,2.0
