,precision,recall,f1-score,support
4,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,1.0
17,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,4.0
29,0.0,0.0,0.0,1.0
41,0.0,0.0,0.0,1.0
46,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,1.0
54,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,1.0
62,0.0,0.0,0.0,1.0
70,0.0,0.0,0.0,1.0
71,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,2.0
77,0.0,0.0,0.0,1.0
78,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,1.0
93,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,1.0
101,0.0,0.0,0.0,1.0
116,0.0,0.0,0.0,1.0
117,0.0,0.0,0.0,1.0
120,0.0,0.0,0.0,2.0
140,0.0,0.0,0.0,1.0
143,0.0,0.0,0.0,1.0
154,0.0,0.0,0.0,1.0
177,0.0,0.0,0.0,1.0
180,0.0,0.0,0.0,1.0
185,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,2.0
189,0.0,0.0,0.0,2.0
197,0.0,0.0,0.0,1.0
198,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,1.0
242,0.0,0.0,0.0,3.0
247,0.0,0.0,0.0,1.0
249,0.0,0.0,0.0,1.0
250,0.0,0.0,0.0,1.0
251,0.0,0.0,0.0,1.0
252,0.0,0.0,0.0,1.0
253,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,1.0
270,0.0,0.0,0.0,1.0
289,0.0,0.0,0.0,1.0
292,0.0,0.0,0.0,1.0
293,0.0,0.0,0.0,2.0
297,0.0,0.0,0.0,1.0
299,0.0,0.0,0.0,1.0
300,0.0,0.0,0.0,1.0
301,0.0,0.0,0.0,1.0
302,0.0,0.0,0.0,1.0
306,0.0,0.0,0.0,1.0
309,0.0,0.0,0.0,1.0
310,0.0,0.0,0.0,1.0
315,0.0,0.0,0.0,1.0
318,0.0,0.0,0.0,1.0
322,0.0,0.0,0.0,0.0
328,0.0,0.0,0.0,1.0
343,0.0,0.0,0.0,1.0
349,0.0,0.0,0.0,1.0
355,0.0,0.0,0.0,1.0
363,0.0,0.0,0.0,1.0
367,0.0,0.0,0.0,1.0
368,0.0,0.0,0.0,0.0
379,0.0,0.0,0.0,1.0
380,0.0,0.0,0.0,1.0
391,0.0,0.0,0.0,1.0
396,0.0,0.0,0.0,1.0
401,0.0,0.0,0.0,1.0
404,0.0,0.0,0.0,1.0
415,0.0,0.0,0.0,0.0
417,0.0,0.0,0.0,1.0
425,0.0,0.0,0.0,1.0
428,0.0,0.0,0.0,1.0
432,0.0,0.0,0.0,5.0
454,0.0,0.0,0.0,1.0
461,0.0,0.0,0.0,5.0
465,0.0,0.0,0.0,1.0
475,0.0,0.0,0.0,1.0
484,0.0,0.0,0.0,0.0
486,0.0,0.0,0.0,1.0
497,0.0,0.0,0.0,1.0
498,0.0,0.0,0.0,2.0
504,0.1188118811881188,0.42857142857142855,0.18604651162790697,56.0
511,0.0,0.0,0.0,1.0
516,0.0,0.0,0.0,1.0
534,0.0,0.0,0.0,2.0
535,0.0,0.0,0.0,1.0
536,0.0,0.0,0.0,3.0
537,0.0,0.0,0.0,1.0
549,0.0,0.0,0.0,1.0
552,0.0,0.0,0.0,1.0
560,0.0,0.0,0.0,1.0
572,0.0,0.0,0.0,2.0
587,0.0,0.0,0.0,1.0
592,0.0,0.0,0.0,1.0
594,0.0,0.0,0.0,1.0
607,0.0,0.0,0.0,3.0
611,0.0,0.0,0.0,1.0
622,0.0,0.0,0.0,2.0
623,0.0,0.0,0.0,1.0
624,0.0,0.0,0.0,1.0
625,0.0,0.0,0.0,4.0
628,0.0,0.0,0.0,1.0
630,0.0,0.0,0.0,1.0
638,0.0,0.0,0.0,1.0
640,0.0,0.0,0.0,2.0
662,0.0,0.0,0.0,1.0
668,0.0,0.0,0.0,1.0
669,0.0,0.0,0.0,1.0
673,0.0,0.0,0.0,1.0
675,0.0,0.0,0.0,1.0
679,0.0,0.0,0.0,1.0
689,0.0,0.0,0.0,3.0
697,0.0,0.0,0.0,1.0
698,0.0,0.0,0.0,1.0
704,0.0,0.0,0.0,1.0
705,0.0,0.0,0.0,1.0
711,0.0,0.0,0.0,1.0
718,0.0,0.0,0.0,1.0
730,0.0,0.0,0.0,2.0
732,0.0,0.0,0.0,1.0
733,0.0,0.0,0.0,0.0
751,0.0,0.0,0.0,1.0
754,0.0,0.0,0.0,1.0
765,0.0,0.0,0.0,1.0
768,0.0,0.0,0.0,1.0
769,0.0,0.0,0.0,1.0
771,0.0,0.0,0.0,1.0
772,0.0,0.0,0.0,0.0
778,0.0,0.0,0.0,1.0
782,0.0,0.0,0.0,1.0
789,0.0,0.0,0.0,1.0
796,0.0,0.0,0.0,0.0
798,0.0,0.0,0.0,1.0
802,0.0,0.0,0.0,1.0
817,0.0,0.0,0.0,1.0
819,0.0,0.0,0.0,1.0
820,0.0,0.0,0.0,1.0
832,0.0,0.0,0.0,0.0
837,0.0,0.0,0.0,0.0
851,0.0,0.0,0.0,1.0
858,0.0,0.0,0.0,1.0
868,0.0,0.0,0.0,1.0
870,0.0,0.0,0.0,1.0
882,0.0,0.0,0.0,1.0
900,0.0,0.0,0.0,1.0
905,0.0,0.0,0.0,1.0
907,0.0,0.0,0.0,1.0
911,0.0,0.0,0.0,0.0
915,0.0,0.0,0.0,1.0
922,0.0,0.0,0.0,1.0
924,0.0,0.0,0.0,1.0
928,0.0,0.0,0.0,1.0
929,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
938,0.0,0.0,0.0,1.0
942,0.0,0.0,0.0,1.0
951,0.0,0.0,0.0,0.0
956,0.0,0.0,0.0,1.0
967,0.0,0.0,0.0,1.0
972,0.0,0.0,0.0,1.0
986,0.0,0.0,0.0,0.0
989,0.0,0.0,0.0,1.0
993,0.0,0.0,0.0,1.0
997,0.0,0.0,0.0,1.0
1001,0.0,0.0,0.0,1.0
1005,0.0,0.0,0.0,1.0
1007,0.0,0.0,0.0,1.0
1024,0.0,0.0,0.0,1.0
1028,0.0,0.0,0.0,1.0
1031,0.0,0.0,0.0,1.0
1042,0.0,0.0,0.0,1.0
1043,0.0,0.0,0.0,1.0
1051,0.0,0.0,0.0,1.0
1056,0.0,0.0,0.0,1.0
1057,0.0,0.0,0.0,1.0
1058,0.0,0.0,0.0,1.0
1073,0.0,0.0,0.0,1.0
1079,0.0,0.0,0.0,1.0
1083,0.0,0.0,0.0,1.0
1085,0.0,0.0,0.0,1.0
1090,0.0,0.0,0.0,6.0
1093,0.0,0.0,0.0,1.0
1104,0.0,0.0,0.0,1.0
1106,0.0,0.0,0.0,2.0
1108,0.0,0.0,0.0,1.0
1123,0.0,0.0,0.0,1.0
1125,0.0,0.0,0.0,2.0
1140,0.0,0.0,0.0,1.0
1145,0.0,0.0,0.0,1.0
1147,0.0,0.0,0.0,1.0
1148,0.0,0.0,0.0,1.0
1157,0.0,0.0,0.0,1.0
1165,0.0,0.0,0.0,1.0
1171,0.0,0.0,0.0,2.0
1182,0.0,0.0,0.0,1.0
1197,0.0,0.0,0.0,1.0
1198,0.0,0.0,0.0,1.0
1200,0.0,0.0,0.0,1.0
1204,0.0,0.0,0.0,1.0
1210,0.0,0.0,0.0,1.0
1212,0.0,0.0,0.0,1.0
1219,0.0,0.0,0.0,1.0
1227,0.0,0.0,0.0,1.0
1244,0.0,0.0,0.0,1.0
1251,0.0,0.0,0.0,4.0
1253,0.0,0.0,0.0,1.0
1258,0.0,0.0,0.0,1.0
1260,0.0,0.0,0.0,1.0
1262,0.0,0.0,0.0,1.0
1287,0.0,0.0,0.0,1.0
1293,0.0,0.0,0.0,1.0
1298,0.0,0.0,0.0,1.0
1304,0.0,0.0,0.0,1.0
1306,0.0,0.0,0.0,1.0
1312,0.0,0.0,0.0,2.0
1315,0.0,0.0,0.0,1.0
1316,0.0,0.0,0.0,1.0
1318,0.0,0.0,0.0,1.0
1322,0.0,0.0,0.0,1.0
1324,0.0,0.0,0.0,1.0
1340,0.0,0.0,0.0,1.0
1355,0.0,0.0,0.0,1.0
1357,0.0,0.0,0.0,1.0
1358,0.0,0.0,0.0,1.0
1361,0.0,0.0,0.0,2.0
1364,0.0,0.0,0.0,2.0
