,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,4.0
6,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,2.0
9,0.0,0.0,0.0,2.0
10,0.0,0.0,0.0,2.0
12,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,2.0
15,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,2.0
21,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,1.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,2.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,1.0
32,0.0,0.0,0.0,1.0
33,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,1.0
37,0.0,0.0,0.0,1.0
39,0.0,0.0,0.0,1.0
41,0.0,0.0,0.0,0.0
42,0.07692307692307693,0.2222222222222222,0.11428571428571428,9.0
45,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,1.0
48,0.0,0.0,0.0,1.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,2.0
59,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,1.0
63,0.0,0.0,0.0,2.0
64,0.14285714285714285,0.25,0.18181818181818182,4.0
67,0.0,0.0,0.0,1.0
69,0.0,0.0,0.0,0.0
70,0.5,0.25,0.3333333333333333,8.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,1.0
73,0.0,0.0,0.0,2.0
74,0.0,0.0,0.0,2.0
75,0.0,0.0,0.0,1.0
76,0.0,0.0,0.0,1.0
77,0.0,0.0,0.0,2.0
78,0.034482758620689655,0.2,0.058823529411764705,5.0
79,0.0,0.0,0.0,1.0
80,0.0,0.0,0.0,1.0
82,0.0,0.0,0.0,1.0
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,1.0
86,0.0,0.0,0.0,1.0
88,0.0,0.0,0.0,2.0
89,0.0,0.0,0.0,1.0
90,0.0,0.0,0.0,1.0
91,0.0,0.0,0.0,1.0
93,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
96,0.0,0.0,0.0,1.0
98,0.0,0.0,0.0,2.0
99,0.0,0.0,0.0,1.0
101,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,2.0
105,0.0,0.0,0.0,1.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.1,0.25,0.14285714285714285,4.0
110,0.0,0.0,0.0,1.0
111,0.5555555555555556,0.38461538461538464,0.45454545454545453,13.0
112,0.0,0.0,0.0,1.0
113,0.0,0.0,0.0,2.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,8.0
117,0.0,0.0,0.0,2.0
118,0.0,0.0,0.0,1.0
120,0.0,0.0,0.0,1.0
121,0.0,0.0,0.0,1.0
123,0.0,0.0,0.0,1.0
125,0.0,0.0,0.0,1.0
126,0.0,0.0,0.0,2.0
127,0.0,0.0,0.0,4.0
128,0.0,0.0,0.0,1.0
129,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,2.0
131,0.0,0.0,0.0,1.0
132,0.0,0.0,0.0,1.0
134,0.0,0.0,0.0,1.0
137,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,2.0
140,0.0,0.0,0.0,1.0
141,0.0,0.0,0.0,2.0
142,0.0,0.0,0.0,1.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,1.0
145,1.0,1.0,1.0,1.0
146,0.0,0.0,0.0,2.0
147,0.0,0.0,0.0,1.0
148,0.0,0.0,0.0,1.0
150,0.0,0.0,0.0,1.0
151,0.0,0.0,0.0,1.0
152,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,1.0
155,0.0,0.0,0.0,1.0
156,0.0,0.0,0.0,1.0
159,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,3.0
161,0.0,0.0,0.0,1.0
162,0.25,0.16666666666666666,0.2,6.0
163,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,4.0
168,0.0,0.0,0.0,2.0
169,0.0,0.0,0.0,1.0
171,0.0,0.0,0.0,1.0
173,0.0,0.0,0.0,1.0
174,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,1.0
176,0.0,0.0,0.0,1.0
178,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,1.0
182,0.0,0.0,0.0,1.0
183,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,1.0
185,0.0,0.0,0.0,1.0
186,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,1.0
189,0.0,0.0,0.0,1.0
190,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,1.0
194,0.0,0.0,0.0,2.0
195,0.0,0.0,0.0,2.0
197,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,1.0
201,0.0,0.0,0.0,2.0
202,0.0,0.0,0.0,2.0
204,0.0,0.0,0.0,1.0
205,0.0,0.0,0.0,3.0
208,0.0,0.0,0.0,1.0
210,0.0,0.0,0.0,0.0
211,0.5,0.5,0.5,2.0
215,0.0,0.0,0.0,2.0
217,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,1.0
219,0.0,0.0,0.0,1.0
220,0.0,0.0,0.0,4.0
222,0.0,0.0,0.0,1.0
224,0.0,0.0,0.0,1.0
225,0.0,0.0,0.0,0.0
226,0.07692307692307693,0.25,0.11764705882352941,4.0
228,0.18181818181818182,0.5,0.26666666666666666,4.0
229,0.0,0.0,0.0,1.0
230,0.0,0.0,0.0,1.0
234,0.0,0.0,0.0,2.0
235,0.0,0.0,0.0,1.0
237,0.0,0.0,0.0,1.0
238,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,2.0
240,0.0,0.0,0.0,1.0
245,0.0,0.0,0.0,1.0
246,0.0,0.0,0.0,0.0
248,0.0,0.0,0.0,3.0
249,0.0,0.0,0.0,4.0
251,0.0,0.0,0.0,3.0
255,0.0,0.0,0.0,3.0
258,0.0,0.0,0.0,2.0
261,0.0,0.0,0.0,3.0
263,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,1.0
265,0.0,0.0,0.0,1.0
266,0.0,0.0,0.0,2.0
269,0.0,0.0,0.0,1.0
270,0.0,0.0,0.0,1.0
271,0.0,0.0,0.0,1.0
272,0.0,0.0,0.0,1.0
274,0.0,0.0,0.0,2.0
275,0.0,0.0,0.0,0.0
276,0.0,0.0,0.0,1.0
277,0.0,0.0,0.0,1.0
278,0.0,0.0,0.0,1.0
279,0.0,0.0,0.0,1.0
280,0.0,0.0,0.0,1.0
282,0.0,0.0,0.0,1.0
283,0.0,0.0,0.0,1.0
285,0.0,0.0,0.0,2.0
286,0.0,0.0,0.0,1.0
287,0.0,0.0,0.0,1.0
288,0.0,0.0,0.0,2.0
289,0.0,0.0,0.0,1.0
290,0.0,0.0,0.0,1.0
293,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,1.0
295,0.0,0.0,0.0,2.0
296,0.0,0.0,0.0,1.0
