,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,1.0
22,0.0,0.0,0.0,1.0
25,0.0,0.0,0.0,1.0
32,0.0,0.0,0.0,1.0
35,0.0,0.0,0.0,1.0
36,0.0,0.0,0.0,1.0
44,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,1.0
59,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,2.0
64,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,1.0
76,0.0,0.0,0.0,5.0
77,0.0,0.0,0.0,1.0
82,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,3.0
101,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,1.0
120,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,1.0
123,0.0,0.0,0.0,1.0
135,0.0,0.0,0.0,1.0
142,0.0,0.0,0.0,1.0
143,0.0,0.0,0.0,1.0
149,0.0,0.0,0.0,1.0
156,0.0,0.0,0.0,1.0
164,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,1.0
177,0.0,0.0,0.0,1.0
182,0.0,0.0,0.0,1.0
183,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,1.0
196,0.0,0.0,0.0,1.0
198,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,1.0
210,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,0.0
228,0.0,0.0,0.0,1.0
230,0.0,0.0,0.0,1.0
239,0.0,0.0,0.0,1.0
242,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,1.0
249,0.0,0.0,0.0,3.0
252,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,2.0
280,0.0,0.0,0.0,1.0
286,0.0,0.0,0.0,1.0
288,0.0,0.0,0.0,1.0
289,0.0,0.0,0.0,3.0
293,0.0,0.0,0.0,1.0
296,0.0,0.0,0.0,1.0
299,0.0,0.0,0.0,2.0
302,0.0,0.0,0.0,1.0
315,0.0,0.0,0.0,1.0
319,0.0,0.0,0.0,1.0
322,0.0,0.0,0.0,1.0
323,0.0,0.0,0.0,1.0
327,0.0,0.0,0.0,1.0
334,0.0,0.0,0.0,1.0
347,0.0,0.0,0.0,1.0
355,0.0,0.0,0.0,1.0
361,0.0,0.0,0.0,1.0
368,0.0,0.0,0.0,0.0
378,0.0,0.0,0.0,1.0
380,0.0,0.0,0.0,1.0
381,0.0,0.0,0.0,1.0
389,0.0,0.0,0.0,1.0
401,0.0,0.0,0.0,1.0
402,0.0,0.0,0.0,1.0
413,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,1.0
420,0.0,0.0,0.0,1.0
426,0.0,0.0,0.0,1.0
427,0.0,0.0,0.0,1.0
428,0.0,0.0,0.0,0.0
432,0.0,0.0,0.0,5.0
438,0.0,0.0,0.0,2.0
440,0.0,0.0,0.0,1.0
453,0.0,0.0,0.0,1.0
461,0.0,0.0,0.0,2.0
465,0.0,0.0,0.0,1.0
484,0.0,0.0,0.0,1.0
497,0.0,0.0,0.0,1.0
498,0.0,0.0,0.0,0.0
504,0.11931818181818182,0.4117647058823529,0.18502202643171806,51.0
505,0.0,0.0,0.0,1.0
507,0.0,0.0,0.0,1.0
508,0.0,0.0,0.0,1.0
511,0.0,0.0,0.0,0.0
519,0.0,0.0,0.0,1.0
524,0.0,0.0,0.0,1.0
530,0.0,0.0,0.0,1.0
534,0.0,0.0,0.0,2.0
536,0.0,0.0,0.0,1.0
543,0.0,0.0,0.0,1.0
554,0.0,0.0,0.0,1.0
572,0.0,0.0,0.0,0.0
576,0.0,0.0,0.0,1.0
584,0.0,0.0,0.0,1.0
586,0.0,0.0,0.0,1.0
598,0.0,0.0,0.0,3.0
