,precision,recall,f1-score,support
6,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,2.0
19,0.0,0.0,0.0,5.0
20,0.0,0.0,0.0,1.0
26,0.0,0.0,0.0,1.0
30,0.0,0.0,0.0,1.0
33,0.0,0.0,0.0,1.0
45,0.0,0.0,0.0,1.0
52,0.0,0.0,0.0,1.0
53,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,2.0
63,0.0,0.0,0.0,1.0
65,0.0,0.0,0.0,1.0
70,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,1.0
92,0.0,0.0,0.0,1.0
101,0.0,0.0,0.0,1.0
109,0.0,0.0,0.0,1.0
110,0.0,0.0,0.0,1.0
118,0.0,0.0,0.0,1.0
120,0.0,0.0,0.0,1.0
125,0.0,0.0,0.0,1.0
126,0.0,0.0,0.0,1.0
133,0.0,0.0,0.0,1.0
138,0.0,0.0,0.0,1.0
143,0.0,0.0,0.0,2.0
146,0.0,0.0,0.0,1.0
153,0.0,0.0,0.0,4.0
158,0.0,0.0,0.0,1.0
163,0.0,0.0,0.0,1.0
165,0.0,0.0,0.0,1.0
177,0.0,0.0,0.0,1.0
180,0.0,0.0,0.0,1.0
184,0.0,0.0,0.0,2.0
186,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,6.0
201,0.0,0.0,0.0,1.0
212,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,1.0
219,0.0,0.0,0.0,1.0
221,0.0,0.0,0.0,1.0
228,0.0,0.0,0.0,1.0
229,0.0,0.0,0.0,1.0
234,0.0,0.0,0.0,1.0
242,0.0,0.0,0.0,1.0
244,0.0,0.0,0.0,1.0
255,0.0,0.0,0.0,1.0
263,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,1.0
269,0.0,0.0,0.0,1.0
277,0.0,0.0,0.0,1.0
288,0.0,0.0,0.0,1.0
289,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,1.0
296,0.0,0.0,0.0,1.0
298,0.0,0.0,0.0,1.0
303,0.0,0.0,0.0,1.0
315,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,1.0
322,0.0,0.0,0.0,2.0
324,0.0,0.0,0.0,1.0
329,0.0,0.0,0.0,1.0
337,0.0,0.0,0.0,1.0
346,0.0,0.0,0.0,1.0
356,0.0,0.0,0.0,1.0
360,0.0,0.0,0.0,1.0
362,0.0,0.0,0.0,1.0
365,0.0,0.0,0.0,1.0
366,0.0,0.0,0.0,2.0
377,0.0,0.0,0.0,1.0
383,0.0,0.0,0.0,1.0
388,0.0,0.0,0.0,1.0
394,0.0,0.0,0.0,1.0
401,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,1.0
417,0.0,0.0,0.0,2.0
420,0.0,0.0,0.0,0.0
426,0.0,0.0,0.0,0.0
432,0.0,0.0,0.0,2.0
435,0.0,0.0,0.0,1.0
437,0.0,0.0,0.0,1.0
438,0.0,0.0,0.0,1.0
442,0.0,0.0,0.0,1.0
444,0.0,0.0,0.0,1.0
446,0.0,0.0,0.0,1.0
448,0.0,0.0,0.0,1.0
451,0.0,0.0,0.0,1.0
458,0.0,0.0,0.0,1.0
461,0.0,0.0,0.0,4.0
469,0.0,0.0,0.0,1.0
473,0.0,0.0,0.0,1.0
474,0.0,0.0,0.0,1.0
476,0.0,0.0,0.0,1.0
490,0.0,0.0,0.0,1.0
496,0.0,0.0,0.0,1.0
498,0.0,0.0,0.0,1.0
504,0.12962962962962962,0.509090909090909,0.2066420664206642,55.0
510,0.0,0.0,0.0,1.0
514,0.0,0.0,0.0,1.0
527,0.0,0.0,0.0,1.0
530,0.0,0.0,0.0,1.0
531,0.0,0.0,0.0,1.0
533,0.0,0.0,0.0,1.0
534,0.0,0.0,0.0,2.0
536,0.0,0.0,0.0,0.0
542,0.0,0.0,0.0,1.0
549,0.0,0.0,0.0,2.0
551,0.0,0.0,0.0,1.0
557,0.0,0.0,0.0,2.0
559,0.0,0.0,0.0,1.0
569,0.0,0.0,0.0,1.0
571,0.0,0.0,0.0,0.0
572,0.0,0.0,0.0,1.0
581,0.0,0.0,0.0,1.0
584,0.0,0.0,0.0,2.0
592,0.0,0.0,0.0,1.0
593,0.0,0.0,0.0,1.0
599,0.0,0.0,0.0,1.0
607,0.0,0.0,0.0,0.0
622,0.0,0.0,0.0,1.0
625,0.0,0.0,0.0,2.0
632,0.0,0.0,0.0,1.0
640,0.0,0.0,0.0,1.0
652,0.0,0.0,0.0,1.0
654,0.0,0.0,0.0,1.0
672,0.0,0.0,0.0,1.0
678,0.0,0.0,0.0,1.0
679,0.25,0.2,0.2222222222222222,5.0
680,0.0,0.0,0.0,1.0
689,0.1,0.5,0.16666666666666666,4.0
692,0.0,0.0,0.0,1.0
696,0.0,0.0,0.0,1.0
703,0.0,0.0,0.0,1.0
704,0.0,0.0,0.0,1.0
710,0.0,0.0,0.0,1.0
721,0.0,0.0,0.0,1.0
726,0.0,0.0,0.0,1.0
729,0.0,0.0,0.0,1.0
737,0.0,0.0,0.0,1.0
756,0.0,0.0,0.0,1.0
760,0.0,0.0,0.0,1.0
767,0.0,0.0,0.0,1.0
772,0.0,0.0,0.0,1.0
777,0.0,0.0,0.0,1.0
788,0.0,0.0,0.0,1.0
796,0.0,0.0,0.0,1.0
815,0.0,0.0,0.0,1.0
818,0.0,0.0,0.0,1.0
823,0.0,0.0,0.0,1.0
827,0.0,0.0,0.0,1.0
829,0.0,0.0,0.0,1.0
832,0.0,0.0,0.0,2.0
846,0.0,0.0,0.0,1.0
852,0.0,0.0,0.0,1.0
858,0.0,0.0,0.0,1.0
866,0.0,0.0,0.0,1.0
870,0.0,0.0,0.0,1.0
875,0.0,0.0,0.0,1.0
880,0.0,0.0,0.0,1.0
896,0.0,0.0,0.0,0.0
897,0.0,0.0,0.0,1.0
911,0.0,0.0,0.0,1.0
914,0.0,0.0,0.0,1.0
920,0.0,0.0,0.0,1.0
927,0.0,0.0,0.0,1.0
929,0.0,0.0,0.0,3.0
942,0.0,0.0,0.0,0.0
950,0.0,0.0,0.0,1.0
951,0.0,0.0,0.0,1.0
953,0.0,0.0,0.0,1.0
960,0.0,0.0,0.0,1.0
961,0.0,0.0,0.0,1.0
970,0.0,0.0,0.0,1.0
972,0.0,0.0,0.0,2.0
985,0.0,0.0,0.0,1.0
986,0.0,0.0,0.0,3.0
993,0.0,0.0,0.0,0.0
996,0.0,0.0,0.0,1.0
1000,0.0,0.0,0.0,1.0
1003,0.0,0.0,0.0,1.0
1006,0.0,0.0,0.0,1.0
1007,0.0,0.0,0.0,1.0
1011,0.0,0.0,0.0,1.0
1018,0.0,0.0,0.0,2.0
1025,0.0,0.0,0.0,1.0
1026,0.0,0.0,0.0,1.0
1029,0.0,0.0,0.0,1.0
1034,0.0,0.0,0.0,1.0
1042,0.0,0.0,0.0,1.0
1049,0.0,0.0,0.0,1.0
1051,0.0,0.0,0.0,2.0
1058,0.0,0.0,0.0,3.0
1059,0.0,0.0,0.0,1.0
1060,0.0,0.0,0.0,1.0
1067,0.0,0.0,0.0,0.0
1068,0.0,0.0,0.0,1.0
1077,0.0,0.0,0.0,2.0
1080,0.0,0.0,0.0,1.0
1084,0.0,0.0,0.0,1.0
1087,0.0,0.0,0.0,1.0
1090,0.2222222222222222,0.25,0.23529411764705882,8.0
1091,0.0,0.0,0.0,1.0
1093,0.0,0.0,0.0,1.0
1101,0.0,0.0,0.0,1.0
1105,0.0,0.0,0.0,0.0
1117,0.0,0.0,0.0,1.0
1122,0.0,0.0,0.0,1.0
1125,0.0,0.0,0.0,1.0
1146,0.0,0.0,0.0,1.0
1151,0.0,0.0,0.0,1.0
1171,0.0,0.0,0.0,0.0
1179,0.0,0.0,0.0,1.0
1180,0.0,0.0,0.0,1.0
1197,0.0,0.0,0.0,1.0
1220,0.0,0.0,0.0,1.0
1225,0.0,0.0,0.0,1.0
1227,0.0,0.0,0.0,1.0
1236,0.0,0.0,0.0,0.0
1241,0.0,0.0,0.0,1.0
1251,0.0,0.0,0.0,2.0
1253,0.0,0.0,0.0,0.0
1259,0.0,0.0,0.0,1.0
1261,0.0,0.0,0.0,1.0
1268,0.0,0.0,0.0,1.0
1279,0.0,0.0,0.0,1.0
1282,0.0,0.0,0.0,1.0
1284,0.0,0.0,0.0,1.0
1285,0.0,0.0,0.0,2.0
1286,0.0,0.0,0.0,1.0
1287,0.0,0.0,0.0,1.0
1297,0.0,0.0,0.0,1.0
1298,0.0,0.0,0.0,1.0
1301,0.0,0.0,0.0,1.0
1307,0.0,0.0,0.0,1.0
1310,0.0,0.0,0.0,2.0
1312,0.0,0.0,0.0,2.0
1313,0.0,0.0,0.0,1.0
1317,0.0,0.0,0.0,2.0
1320,0.0,0.0,0.0,1.0
1326,0.0,0.0,0.0,1.0
1334,0.0,0.0,0.0,1.0
1337,0.0,0.0,0.0,1.0
1345,0.0,0.0,0.0,1.0
1358,0.0,0.0,0.0,1.0
1361,0.0,0.0,0.0,1.0
1367,0.0,0.0,0.0,1.0
1371,0.0,0.0,0.0,1.0
1374,0.0,0.0,0.0,1.0
1375,0.0,0.0,0.0,1.0
1377,0.0,0.0,0.0,1.0
1385,0.0,0.0,0.0,0.0
1390,0.0,0.0,0.0,3.0
1392,0.0,0.0,0.0,1.0
1393,0.0,0.0,0.0,1.0
1398,0.0,0.0,0.0,0.0
1402,0.0,0.0,0.0,1.0
1403,0.0,0.0,0.0,1.0
1405,0.0,0.0,0.0,1.0
1409,0.0,0.0,0.0,2.0
1413,0.0,0.0,0.0,1.0
1420,0.0,0.0,0.0,1.0
1422,0.0,0.0,0.0,1.0
1429,0.0,0.0,0.0,2.0
1434,0.0,0.0,0.0,1.0
1437,0.0,0.0,0.0,1.0
1440,0.0,0.0,0.0,0.0
1442,0.0,0.0,0.0,1.0
1443,0.0,0.0,0.0,1.0
1448,0.0,0.0,0.0,1.0
1452,0.0,0.0,0.0,3.0
1453,0.0,0.0,0.0,1.0
1456,0.0,0.0,0.0,1.0
1460,0.0,0.0,0.0,1.0
1467,0.0,0.0,0.0,1.0
1472,0.0,0.0,0.0,0.0
1475,0.0,0.0,0.0,2.0
1478,0.0,0.0,0.0,1.0
1480,0.0,0.0,0.0,7.0
1487,0.0,0.0,0.0,1.0
1491,0.0,0.0,0.0,1.0
1497,0.0,0.0,0.0,1.0
1499,0.5,0.25,0.3333333333333333,4.0
1501,0.0,0.0,0.0,1.0
1502,0.0,0.0,0.0,1.0
1505,0.0,0.0,0.0,1.0
1507,0.0,0.0,0.0,1.0
1514,0.0,0.0,0.0,1.0
1517,0.0,0.0,0.0,1.0
1526,0.0,0.0,0.0,1.0
1527,0.0,0.0,0.0,1.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,3.0
1531,0.0,0.0,0.0,1.0
1541,0.0,0.0,0.0,1.0
1543,0.0,0.0,0.0,1.0
1544,0.0,0.0,0.0,1.0
1550,0.0,0.0,0.0,1.0
1552,0.0,0.0,0.0,1.0
1555,0.0,0.0,0.0,1.0
1556,0.0,0.0,0.0,1.0
1558,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,1.0
1572,0.0,0.0,0.0,1.0
1574,0.0,0.0,0.0,1.0
1582,0.0,0.0,0.0,3.0
1590,0.0,0.0,0.0,1.0
1601,0.0,0.0,0.0,1.0
1603,0.0,0.0,0.0,1.0
1607,0.0,0.0,0.0,1.0
1608,0.0,0.0,0.0,4.0
1610,0.0,0.0,0.0,1.0
1613,0.0,0.0,0.0,1.0
1622,0.0,0.0,0.0,2.0
1624,0.0,0.0,0.0,2.0
1626,0.0,0.0,0.0,0.0
1627,0.0,0.0,0.0,1.0
1634,0.0,0.0,0.0,1.0
1641,0.0,0.0,0.0,1.0
1645,0.0,0.0,0.0,1.0
1651,0.0,0.0,0.0,1.0
1659,0.0,0.0,0.0,1.0
1666,0.0,0.0,0.0,1.0
1667,0.0,0.0,0.0,1.0
1668,0.0,0.0,0.0,1.0
1671,0.0,0.0,0.0,1.0
1701,0.0,0.0,0.0,1.0
1709,0.0,0.0,0.0,1.0
