,precision,recall,f1-score,support
16,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,1.0
33,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,1.0
43,0.0,0.0,0.0,1.0
56,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,2.0
70,0.0,0.0,0.0,2.0
76,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,1.0
115,0.0,0.0,0.0,1.0
121,0.0,0.0,0.0,1.0
128,0.0,0.0,0.0,1.0
131,0.0,0.0,0.0,1.0
134,0.0,0.0,0.0,1.0
152,0.0,0.0,0.0,1.0
157,0.0,0.0,0.0,1.0
158,0.0,0.0,0.0,1.0
159,0.0,0.0,0.0,1.0
180,0.0,0.0,0.0,1.0
184,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,1.0
189,0.0,0.0,0.0,1.0
208,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,3.0
222,0.0,0.0,0.0,1.0
241,0.0,0.0,0.0,1.0
242,0.0,0.0,0.0,1.0
252,0.0,0.0,0.0,1.0
254,0.0,0.0,0.0,1.0
260,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,1.0
269,0.0,0.0,0.0,1.0
273,0.0,0.0,0.0,1.0
280,0.0,0.0,0.0,1.0
293,0.0,0.0,0.0,1.0
304,0.0,0.0,0.0,1.0
308,0.0,0.0,0.0,1.0
309,0.0,0.0,0.0,1.0
315,0.0,0.0,0.0,3.0
322,0.0,0.0,0.0,2.0
326,0.0,0.0,0.0,1.0
346,0.0,0.0,0.0,1.0
354,0.0,0.0,0.0,1.0
355,0.0,0.0,0.0,1.0
358,0.0,0.0,0.0,1.0
368,0.0,0.0,0.0,2.0
369,0.0,0.0,0.0,1.0
373,0.0,0.0,0.0,1.0
384,0.0,0.0,0.0,1.0
385,0.0,0.0,0.0,1.0
387,0.0,0.0,0.0,1.0
396,0.0,0.0,0.0,0.0
402,0.0,0.0,0.0,1.0
403,0.0,0.0,0.0,1.0
414,0.0,0.0,0.0,1.0
416,0.0,0.0,0.0,1.0
423,0.0,0.0,0.0,1.0
428,0.0,0.0,0.0,1.0
429,0.0,0.0,0.0,1.0
432,0.0,0.0,0.0,7.0
438,0.0,0.0,0.0,1.0
447,0.0,0.0,0.0,1.0
455,0.0,0.0,0.0,1.0
461,0.0,0.0,0.0,3.0
484,0.0,0.0,0.0,1.0
485,0.0,0.0,0.0,1.0
492,0.0,0.0,0.0,1.0
495,0.0,0.0,0.0,1.0
498,0.0,0.0,0.0,1.0
504,0.1497326203208556,0.5185185185185185,0.23236514522821577,54.0
509,0.0,0.0,0.0,1.0
531,0.0,0.0,0.0,1.0
533,0.0,0.0,0.0,1.0
534,0.0,0.0,0.0,2.0
536,0.0,0.0,0.0,0.0
537,0.0,0.0,0.0,1.0
538,0.0,0.0,0.0,1.0
539,0.0,0.0,0.0,1.0
541,0.0,0.0,0.0,1.0
543,0.0,0.0,0.0,0.0
548,0.0,0.0,0.0,1.0
549,0.0,0.0,0.0,0.0
557,0.0,0.0,0.0,1.0
572,0.0,0.0,0.0,0.0
577,0.0,0.0,0.0,1.0
579,0.0,0.0,0.0,1.0
584,0.0,0.0,0.0,0.0
605,0.0,0.0,0.0,1.0
607,0.0,0.0,0.0,3.0
611,0.0,0.0,0.0,1.0
615,0.0,0.0,0.0,1.0
617,0.0,0.0,0.0,1.0
622,0.0,0.0,0.0,3.0
623,0.0,0.0,0.0,2.0
625,0.0,0.0,0.0,2.0
640,0.0,0.0,0.0,1.0
641,0.0,0.0,0.0,1.0
643,0.0,0.0,0.0,1.0
653,0.0,0.0,0.0,1.0
656,0.0,0.0,0.0,1.0
657,0.0,0.0,0.0,1.0
665,0.0,0.0,0.0,1.0
670,0.0,0.0,0.0,1.0
679,0.0,0.0,0.0,2.0
689,0.0625,0.25,0.1,4.0
691,0.0,0.0,0.0,1.0
693,0.0,0.0,0.0,1.0
705,0.0,0.0,0.0,1.0
714,0.0,0.0,0.0,1.0
715,0.0,0.0,0.0,1.0
717,0.0,0.0,0.0,1.0
720,0.0,0.0,0.0,1.0
721,0.0,0.0,0.0,1.0
728,0.0,0.0,0.0,1.0
730,0.0,0.0,0.0,1.0
733,0.0,0.0,0.0,1.0
746,0.0,0.0,0.0,1.0
755,0.0,0.0,0.0,1.0
759,0.0,0.0,0.0,1.0
760,0.0,0.0,0.0,1.0
761,0.0,0.0,0.0,1.0
763,0.0,0.0,0.0,1.0
772,0.0,0.0,0.0,4.0
773,0.0,0.0,0.0,1.0
779,0.0,0.0,0.0,1.0
782,0.0,0.0,0.0,1.0
786,0.0,0.0,0.0,1.0
796,0.0,0.0,0.0,1.0
801,0.0,0.0,0.0,1.0
814,0.0,0.0,0.0,1.0
825,0.0,0.0,0.0,1.0
829,0.0,0.0,0.0,0.0
832,0.0,0.0,0.0,2.0
834,0.0,0.0,0.0,1.0
835,0.0,0.0,0.0,1.0
837,0.0,0.0,0.0,3.0
838,0.0,0.0,0.0,1.0
845,0.0,0.0,0.0,1.0
853,0.0,0.0,0.0,1.0
855,0.0,0.0,0.0,1.0
867,0.0,0.0,0.0,1.0
870,0.0,0.0,0.0,0.0
874,0.0,0.0,0.0,1.0
876,0.0,0.0,0.0,1.0
884,0.0,0.0,0.0,1.0
891,0.0,0.0,0.0,1.0
896,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,1.0
903,0.0,0.0,0.0,1.0
905,0.0,0.0,0.0,1.0
906,0.0,0.0,0.0,1.0
907,0.0,0.0,0.0,1.0
911,0.0,0.0,0.0,2.0
918,0.0,0.0,0.0,1.0
923,0.0,0.0,0.0,1.0
927,0.0,0.0,0.0,1.0
929,0.0,0.0,0.0,0.0
933,0.0,0.0,0.0,1.0
935,0.0,0.0,0.0,1.0
940,0.0,0.0,0.0,1.0
943,0.0,0.0,0.0,1.0
950,0.0,0.0,0.0,1.0
951,0.0,0.0,0.0,0.0
956,0.0,0.0,0.0,1.0
966,0.0,0.0,0.0,1.0
972,0.0,0.0,0.0,2.0
978,0.0,0.0,0.0,1.0
979,0.0,0.0,0.0,0.0
981,0.0,0.0,0.0,1.0
986,0.0,0.0,0.0,0.0
988,0.0,0.0,0.0,2.0
991,0.0,0.0,0.0,1.0
993,0.0,0.0,0.0,2.0
1000,0.0,0.0,0.0,1.0
1007,0.0,0.0,0.0,0.0
1013,0.0,0.0,0.0,1.0
1014,0.0,0.0,0.0,1.0
1018,0.0,0.0,0.0,3.0
1023,0.0,0.0,0.0,1.0
1027,0.0,0.0,0.0,1.0
1030,0.0,0.0,0.0,1.0
1034,0.0,0.0,0.0,1.0
