,precision,recall,f1-score,support
3,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,1.0
20,0.0,0.0,0.0,1.0
22,0.0,0.0,0.0,1.0
24,0.0,0.0,0.0,1.0
28,0.0,0.0,0.0,1.0
33,0.0,0.0,0.0,1.0
58,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,1.0
68,0.0,0.0,0.0,1.0
71,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,1.0
74,0.0,0.0,0.0,2.0
76,0.0,0.0,0.0,1.0
77,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,1.0
101,0.0,0.0,0.0,2.0
104,0.0,0.0,0.0,1.0
114,0.0,0.0,0.0,1.0
116,0.0,0.0,0.0,1.0
120,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,1.0
151,0.0,0.0,0.0,1.0
153,0.0,0.0,0.0,1.0
163,0.0,0.0,0.0,1.0
167,0.0,0.0,0.0,1.0
185,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,2.0
191,0.0,0.0,0.0,1.0
192,0.0,0.0,0.0,1.0
199,0.0,0.0,0.0,1.0
205,0.0,0.0,0.0,1.0
213,0.0,0.0,0.0,1.0
215,0.0,0.0,0.0,1.0
216,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,2.0
223,0.0,0.0,0.0,1.0
224,0.0,0.0,0.0,1.0
232,0.0,0.0,0.0,1.0
238,0.0,0.0,0.0,1.0
242,0.0,0.0,0.0,1.0
249,0.0,0.0,0.0,0.0
252,0.0,0.0,0.0,1.0
262,0.0,0.0,0.0,1.0
266,0.0,0.0,0.0,1.0
274,0.0,0.0,0.0,1.0
275,0.0,0.0,0.0,1.0
285,0.0,0.0,0.0,1.0
289,0.0,0.0,0.0,2.0
290,0.0,0.0,0.0,1.0
293,0.0,0.0,0.0,1.0
302,0.0,0.0,0.0,1.0
304,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,1.0
309,0.0,0.0,0.0,1.0
314,0.0,0.0,0.0,1.0
315,0.0,0.0,0.0,0.0
325,0.0,0.0,0.0,1.0
343,0.0,0.0,0.0,1.0
345,0.0,0.0,0.0,1.0
346,0.0,0.0,0.0,1.0
348,0.0,0.0,0.0,1.0
359,0.0,0.0,0.0,1.0
368,0.0,0.0,0.0,1.0
372,0.0,0.0,0.0,1.0
392,0.0,0.0,0.0,2.0
