,precision,recall,f1-score,support
2,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,1.0
27,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,1.0
33,0.0,0.0,0.0,1.0
38,0.0,0.0,0.0,2.0
40,0.0,0.0,0.0,1.0
42,0.0,0.0,0.0,1.0
49,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,1.0
70,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,1.0
73,0.0,0.0,0.0,1.0
76,0.0,0.0,0.0,1.0
77,0.0,0.0,0.0,1.0
79,0.0,0.0,0.0,1.0
83,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,1.0
96,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,1.0
101,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,1.0
145,0.0,0.0,0.0,1.0
147,0.0,0.0,0.0,1.0
153,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,1.0
158,0.0,0.0,0.0,1.0
161,0.0,0.0,0.0,1.0
165,0.0,0.0,0.0,1.0
166,0.0,0.0,0.0,1.0
169,0.0,0.0,0.0,1.0
171,0.0,0.0,0.0,1.0
174,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,2.0
195,0.0,0.0,0.0,1.0
204,0.0,0.0,0.0,1.0
211,0.0,0.0,0.0,1.0
214,0.0,0.0,0.0,1.0
217,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,1.0
232,0.0,0.0,0.0,1.0
238,0.0,0.0,0.0,1.0
249,0.0,0.0,0.0,0.0
252,0.0,0.0,0.0,1.0
256,0.0,0.0,0.0,1.0
258,0.0,0.0,0.0,1.0
260,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,1.0
266,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,1.0
276,0.0,0.0,0.0,1.0
281,0.0,0.0,0.0,1.0
289,0.0,0.0,0.0,1.0
291,0.0,0.0,0.0,1.0
293,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,1.0
299,0.0,0.0,0.0,1.0
304,0.0,0.0,0.0,1.0
312,0.0,0.0,0.0,1.0
315,0.0,0.0,0.0,2.0
321,0.0,0.0,0.0,1.0
327,0.0,0.0,0.0,1.0
333,0.0,0.0,0.0,1.0
334,0.0,0.0,0.0,1.0
338,0.0,0.0,0.0,1.0
341,0.0,0.0,0.0,1.0
353,0.0,0.0,0.0,1.0
362,0.0,0.0,0.0,2.0
365,0.0,0.0,0.0,1.0
368,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,1.0
377,0.0,0.0,0.0,1.0
387,0.0,0.0,0.0,1.0
391,0.0,0.0,0.0,1.0
394,0.0,0.0,0.0,1.0
395,0.0,0.0,0.0,1.0
396,0.0,0.0,0.0,1.0
399,0.0,0.0,0.0,1.0
401,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,1.0
408,0.0,0.0,0.0,1.0
410,0.0,0.0,0.0,1.0
413,0.0,0.0,0.0,2.0
415,0.0,0.0,0.0,1.0
417,0.0,0.0,0.0,1.0
421,0.0,0.0,0.0,1.0
426,0.0,0.0,0.0,2.0
431,0.0,0.0,0.0,1.0
432,0.0,0.0,0.0,0.0
436,0.0,0.0,0.0,1.0
438,0.0,0.0,0.0,2.0
439,0.0,0.0,0.0,1.0
440,0.0,0.0,0.0,1.0
441,0.0,0.0,0.0,1.0
443,0.0,0.0,0.0,1.0
461,0.0,0.0,0.0,2.0
465,0.0,0.0,0.0,1.0
473,0.0,0.0,0.0,0.0
474,0.0,0.0,0.0,1.0
482,0.0,0.0,0.0,1.0
498,0.0,0.0,0.0,1.0
499,0.0,0.0,0.0,1.0
504,0.11055276381909548,0.4782608695652174,0.17959183673469387,46.0
508,0.0,0.0,0.0,1.0
521,0.0,0.0,0.0,1.0
522,0.0,0.0,0.0,1.0
534,0.0,0.0,0.0,2.0
536,0.0,0.0,0.0,2.0
543,0.0,0.0,0.0,1.0
