,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,1.0
5,0.5,0.25,0.3333333333333333,4.0
6,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,2.0
9,0.0,0.0,0.0,2.0
10,0.0,0.0,0.0,2.0
12,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,2.0
15,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,2.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,1.0
28,0.0,0.0,0.0,2.0
30,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,1.0
32,0.0,0.0,0.0,1.0
34,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,1.0
37,0.0,0.0,0.0,1.0
39,0.0,0.0,0.0,1.0
42,0.15625,0.5555555555555556,0.24390243902439024,9.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,1.0
48,0.0,0.0,0.0,1.0
51,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,2.0
55,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,1.0
63,0.0,0.0,0.0,2.0
64,0.0,0.0,0.0,4.0
67,0.0,0.0,0.0,1.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,8.0
72,0.0,0.0,0.0,1.0
73,0.0,0.0,0.0,2.0
74,0.0,0.0,0.0,2.0
75,0.0,0.0,0.0,1.0
76,0.0,0.0,0.0,1.0
77,0.0,0.0,0.0,2.0
78,0.041666666666666664,0.2,0.06896551724137931,5.0
79,0.0,0.0,0.0,1.0
80,0.0,0.0,0.0,1.0
82,0.0,0.0,0.0,1.0
83,0.0,0.0,0.0,1.0
84,0.0,0.0,0.0,1.0
85,0.5,1.0,0.6666666666666666,1.0
86,0.0,0.0,0.0,1.0
88,0.0,0.0,0.0,2.0
89,0.16666666666666666,1.0,0.2857142857142857,1.0
90,0.0,0.0,0.0,1.0
91,0.0,0.0,0.0,1.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
