,precision,recall,f1-score,support
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,3.0
21,0.0,0.0,0.0,1.0
25,0.0,0.0,0.0,1.0
47,0.0,0.0,0.0,1.0
52,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,2.0
67,0.0,0.0,0.0,1.0
70,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,1.0
76,0.0,0.0,0.0,2.0
77,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,1.0
101,0.0,0.0,0.0,1.0
103,0.0,0.0,0.0,1.0
113,0.0,0.0,0.0,1.0
120,0.0,0.0,0.0,1.0
141,0.0,0.0,0.0,1.0
163,0.0,0.0,0.0,1.0
164,0.0,0.0,0.0,1.0
165,0.0,0.0,0.0,1.0
175,0.0,0.0,0.0,1.0
179,0.0,0.0,0.0,1.0
181,0.0,0.0,0.0,1.0
187,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,1.0
201,0.0,0.0,0.0,1.0
206,0.0,0.0,0.0,1.0
208,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,1.0
218,0.0,0.0,0.0,1.0
221,0.0,0.0,0.0,1.0
227,0.0,0.0,0.0,1.0
228,0.0,0.0,0.0,1.0
234,0.0,0.0,0.0,1.0
242,0.0,0.0,0.0,2.0
243,0.0,0.0,0.0,2.0
249,0.0,0.0,0.0,1.0
259,0.0,0.0,0.0,1.0
260,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,1.0
265,0.0,0.0,0.0,1.0
271,0.0,0.0,0.0,1.0
289,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,2.0
304,0.0,0.0,0.0,1.0
309,0.0,0.0,0.0,1.0
315,0.0,0.0,0.0,1.0
320,0.0,0.0,0.0,1.0
330,0.0,0.0,0.0,1.0
332,0.0,0.0,0.0,1.0
335,0.0,0.0,0.0,1.0
346,0.0,0.0,0.0,1.0
353,0.0,0.0,0.0,1.0
368,0.0,0.0,0.0,2.0
372,0.0,0.0,0.0,1.0
374,0.0,0.0,0.0,1.0
387,0.0,0.0,0.0,1.0
391,0.0,0.0,0.0,2.0
393,0.0,0.0,0.0,1.0
401,0.0,0.0,0.0,1.0
417,0.0,0.0,0.0,0.0
426,0.0,0.0,0.0,3.0
428,0.0,0.0,0.0,1.0
430,0.0,0.0,0.0,1.0
432,0.0,0.0,0.0,3.0
438,0.0,0.0,0.0,1.0
440,0.0,0.0,0.0,2.0
445,0.0,0.0,0.0,1.0
461,0.0,0.0,0.0,4.0
464,0.0,0.0,0.0,1.0
465,0.0,0.0,0.0,0.0
470,0.0,0.0,0.0,1.0
472,0.0,0.0,0.0,1.0
473,0.0,0.0,0.0,1.0
484,0.0,0.0,0.0,1.0
489,0.0,0.0,0.0,1.0
492,0.0,0.0,0.0,1.0
